HN,#genre#
CGTN 4MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010095/1.m3u8
CGTN 1.5MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010137/1.m3u8

JS,#genre#
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 2MHD,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/6/224/3221225917/index.m3u8
CGTN纪录 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb19]/ott.mobaibox.com/PLTV/6/224/3221227574/index.m3u8

其他,#genre#
CGTN 2MHD,http://223.110.241.206:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS
NHK World Japan,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
RT NEWS,https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8
RT Doc.,https://rt-rtd.rttv.com/dvr/rtdoc/playlist.m3u8
Macau Info,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
Taiwan Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
TED Conference,https://tedconferences-ted-1-us.xiaomi.wurl.tv/playlist.m3u8
Ted Talks,https://tedconferences-ted-1-eu.xiaomi.wurl.tv/playlist.m3u8


HN-yishiteng-202411,#genre#

湖南卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010058/1.m3u8
湖南卫视_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010224/1.m3u8
湖南卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000089/1.m3u8
湖南卫视_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000130/1.m3u8
吉林卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010031/1.m3u8
吉林卫视_1.5M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010075/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010088/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010089/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010097/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010130/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010131/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010132/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010133/1.m3u8
几个购物频道轮播_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010134/1.m3u8
江苏卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010022/1.m3u8
江苏卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010059/1.m3u8
江苏卫视_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010225/1.m3u8
江苏优漫卡通_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010118/1.m3u8
江西卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010064/1.m3u8
江西卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010060/1.m3u8
睛彩广场舞_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010233/1.m3u8
睛彩青少_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010147/1.m3u8
辽宁卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010029/1.m3u8
辽宁卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010061/1.m3u8
内蒙古卫视_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010046/1.m3u8
内蒙古卫视_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010109/1.m3u8
宁夏卫视_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010050/1.m3u8
宁夏卫视_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010110/1.m3u8
青海卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010040/1.m3u8
青海卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8
山东教育卫视_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010112/1.m3u8
山东卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010043/1.m3u8
山东卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010066/1.m3u8
山西卫视_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010041/1.m3u8
山西卫视_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010114/1.m3u8
陕西卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010047/1.m3u8
陕西卫视_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010113/1.m3u8
上海东方卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010020/1.m3u8
上海东方卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/1.m3u8
上海东方卫视_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010219/1.m3u8
上海哈哈炫动_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010117/1.m3u8
上海纪实人文_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010067/1.m3u8
深圳卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010019/1.m3u8
深圳卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010068/1.m3u8
四川卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010048/1.m3u8
四川卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010115/1.m3u8
天津卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010027/1.m3u8
天津卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010069/1.m3u8
未知数据流_,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010057/1.m3u8
西藏藏语卫视_1.5M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010123/1.m3u8
西藏卫视_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010063/1.m3u8
新海南_2.5M720,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010090/1.m3u8
新疆兵团卫视_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010038/1.m3u8
新疆卫视_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010045/1.m3u8
新疆卫视_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010116/1.m3u8
云南卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010042/1.m3u8
云南卫视_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010119/1.m3u8
浙江卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010021/1.m3u8
浙江卫视_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010070/1.m3u8
中国教育1_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010060/1.m3u8
中国教育1_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010103/1.m3u8
中国教育2_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010104/1.m3u8
中国教育2_2.5M576,http://[2409:8087:5e00:24::1e]:6060/000000001000/460000100000000025/1.m3u8
中国教育4_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010065/1.m3u8
